Date,Close/Last,Volume,Open,High,Low,Close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI,Daily_Return,MACD,MACD_Signal,MACD_Histogram,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,ATR,OBV,Sentiment
2024-09-26,$227.52,36636710,227.3,228.5,225.41,227.52,227.186,224.11,223.658,226.551,225.319,224.228,57.171,0.508,1.22,0.682,0.538,223.658,4.035,231.728,215.588,4.684,926227190.0,-0.197
2024-09-27,$227.79,34025970,228.46,229.52,227.3,227.79,227.104,224.639,223.558,226.964,225.768,224.567,57.599,0.119,1.351,0.816,0.535,223.558,3.897,231.352,215.764,4.516,960253160.0,0.061
2024-09-30,$233.00,54793390,230.04,233.0,229.65,233.0,228.41,226.307,223.758,228.976,227.083,225.37,64.895,2.287,1.855,1.024,0.831,223.758,4.276,232.31,215.206,4.549,1015046550.0,-0.454
2024-10-01,$226.21,63285050,229.52,229.65,223.74,226.21,228.178,227.249,223.93,228.054,226.924,225.45,52.272,-2.914,1.687,1.157,0.53,223.93,4.303,232.536,215.324,4.839,951761500.0,0.142
2024-10-02,$226.78,32880610,225.89,227.37,223.02,226.78,228.26,227.858,224.226,227.629,226.898,225.577,53.097,0.252,1.581,1.241,0.34,224.226,4.284,232.794,215.658,4.884,984642110.0,0.149
2024-10-03,$225.67,34044160,225.14,226.805,223.32,225.67,227.89,227.538,224.391,226.976,226.675,225.586,51.24,-0.489,1.392,1.272,0.12,224.391,4.272,232.935,215.847,4.98,950597950.0,-0.132
2024-10-04,$226.80,37345100,227.9,228.0,224.13,226.8,227.692,227.398,224.69,226.918,226.698,225.701,53.04,0.501,1.318,1.281,0.037,224.69,4.218,233.126,216.254,4.644,987943050.0,-0.023
2024-10-07,$221.69,39505350,224.5,225.69,221.33,221.69,225.43,226.92,224.729,225.175,225.787,225.319,44.956,-2.253,0.837,1.192,-0.355,224.729,4.185,233.099,216.359,4.863,948437700.0,0.225
2024-10-08,$225.77,31855690,224.3,225.98,223.25,225.77,225.342,226.76,225.012,225.373,225.784,225.362,51.334,1.84,0.776,1.109,-0.333,225.012,4.045,233.102,216.922,4.747,980293390.0,0.189
2024-10-09,$229.54,33591090,225.23,229.75,224.83,229.54,225.894,227.077,225.356,226.762,226.467,225.76,56.365,1.67,1.021,1.091,-0.07,225.356,4.126,233.608,217.104,4.446,1013884480.0,-0.694
2024-10-10,$229.04,28183540,227.78,229.5,227.17,229.04,226.568,227.229,225.67,227.521,226.935,226.073,55.545,-0.218,1.161,1.105,0.056,225.67,4.158,233.986,217.354,4.225,985700940.0,-0.065
2024-10-11,$227.55,31759190,229.3,229.41,227.34,227.55,226.718,227.205,225.922,227.531,227.047,226.213,53.067,-0.651,1.138,1.112,0.026,225.922,4.108,234.138,217.706,4.112,953941750.0,-0.017
